has_remove_from_cart,is_purchase,continent,is_new_visit,isMobile,last_add_to_cart_hour,number_of_user_actions,number_of_page_views,time_on_site,has_promo,first_add_to_cart_delay,add_to_cart_count,quick_click_count,onsite_click_count,product_click_count
False,False,Asia,False,False,5,2,3,45,False,18.628,1,1,0,0
False,False,Americas,True,False,12,1,5,269,False,269.093,1,0,0,0
False,False,Europe,True,False,2,1,5,109,False,109.384,1,0,0,0
False,False,Asia,True,True,5,5,1,68,False,15.872,5,0,0,0
False,False,Americas,True,True,14,2,4,526,False,126.421,1,1,0,0
False,False,Americas,True,True,23,1,6,224,False,175.484,1,0,0,0
False,False,Americas,True,False,19,3,4,154,False,154.175,1,1,0,1
False,False,Asia,False,True,9,2,5,104,False,81.155,2,0,0,0
False,False,Africa,True,True,3,2,5,64,False,54.074,1,1,0,0
False,False,Americas,True,False,13,2,6,240,False,175.947,1,1,0,0
False,False,Americas,False,False,9,1,7,97,False,58.29,1,0,0,0
False,False,Americas,True,False,12,3,6,850,False,845.439,1,1,0,1
False,False,Americas,False,False,17,2,7,129,False,91.76100000000001,1,1,0,0
False,False,Europe,True,False,7,3,6,83,False,57.23,1,1,0,1
False,False,Oceania,False,False,13,4,5,182,False,21.825,2,2,0,0
False,False,Asia,True,False,22,4,5,34,False,14.513,1,3,0,0
False,False,Americas,False,False,11,4,6,76,False,26.229,2,1,0,1
False,False,Americas,False,False,17,3,7,127,False,111.015,1,1,0,1
False,False,Americas,True,True,14,6,4,135,False,20.472,2,0,4,0
False,False,Americas,False,False,9,2,8,372,False,59.043,1,1,0,0
False,False,Americas,False,False,6,2,8,82,False,7.0329999999999995,1,1,0,0
False,False,Europe,True,True,3,1,9,155,False,93.54,1,0,0,0
False,False,Americas,True,False,13,4,7,106,False,52.902,2,2,0,0
False,False,Americas,True,False,13,2,9,111,False,57.269,1,1,0,0
False,False,Asia,False,False,3,6,5,174,False,36.883,1,0,0,0
False,False,Americas,False,False,16,4,7,110,False,57.739,2,2,0,0
False,False,Americas,True,False,16,2,9,671,False,664.328,1,1,0,0
False,False,Americas,False,False,12,3,8,114,False,73.208,1,1,0,1
False,False,Americas,False,False,14,4,7,147,False,124.361,2,2,0,0
False,False,Americas,True,False,22,4,7,125,False,26.752,2,2,0,0
False,False,Asia,True,True,5,4,7,123,False,57.563,2,1,0,1
False,False,Europe,True,False,3,4,7,151,False,99.73299999999999,2,2,0,0
False,False,Americas,True,False,14,3,9,59,False,27.656,2,1,0,0
False,False,Europe,True,False,9,2,10,154,False,46.748999999999995,1,1,0,0
False,False,Asia,True,False,13,1,11,184,False,87.889,1,0,0,0
False,False,Americas,True,False,17,4,9,192,False,167.335,2,1,0,1
False,False,Asia,True,False,4,2,11,272,False,166.982,1,1,0,0
False,False,Americas,True,True,9,1,12,179,False,43.091,1,0,0,0
False,False,Americas,False,False,9,5,8,177,False,173.21900000000005,1,2,0,2
False,False,Americas,False,False,10,4,10,627,False,344.51,4,0,0,0
True,False,Americas,False,False,12,4,10,470,False,261.67,1,1,0,1
False,False,Americas,False,False,13,3,11,246,False,81.225,1,1,0,1
False,False,Americas,True,False,12,4,10,216,False,216.321,1,2,0,1
False,True,Americas,False,False,15,2,12,216,False,64.586,1,1,0,0
False,False,Americas,True,True,1,2,13,206,False,101.509,1,1,0,0
False,True,Americas,False,False,12,2,13,222,False,35.944,1,1,0,0
False,False,Americas,False,True,20,4,12,2234,False,2203.458,2,2,0,0
False,False,Americas,False,False,9,4,12,352,False,176.791,2,2,0,0
False,False,Asia,False,False,19,3,13,1814,False,135.394,2,1,0,0
False,False,Americas,False,False,9,4,12,1156,False,600.009,2,2,0,0
False,True,Americas,False,False,8,2,14,510,False,267.165,1,1,0,0
False,False,Europe,True,True,12,4,12,265,False,111.42399999999999,1,2,0,1
False,False,Asia,True,True,9,5,12,282,False,273.514,1,4,0,0
False,False,Americas,False,False,19,4,13,228,False,18.139,2,2,0,0
False,False,Europe,True,False,13,5,12,891,False,227.63099999999997,3,2,0,0
False,False,Asia,True,False,9,4,13,1407,False,1277.462,1,2,0,1
False,True,Americas,False,False,21,2,15,266,False,73.02,1,1,0,0
False,False,Americas,False,False,10,3,14,318,False,237.795,1,2,0,0
False,False,Asia,True,False,0,1,16,1798,False,1729.0870000000002,1,0,0,0
False,False,Asia,False,True,12,4,13,431,False,154.483,4,0,0,0
False,True,Americas,True,False,22,2,16,352,False,94.634,1,1,0,0
False,False,Americas,False,False,22,4,14,533,False,18.548,2,2,0,0
False,False,Americas,False,False,15,3,15,387,False,232.07,1,1,0,1
True,False,Americas,True,False,8,4,15,538,False,224.13299999999998,2,1,0,0
True,True,Americas,False,True,18,7,12,886,False,90.383,3,3,0,0
False,False,Europe,False,False,6,7,12,324,False,316.176,1,3,0,3
False,False,Americas,True,True,9,5,14,631,False,463.47900000000004,1,4,0,0
False,False,Americas,True,True,23,6,13,221,False,80.32600000000002,2,4,0,0
False,False,Americas,True,False,10,5,14,702,False,614.1569999999998,1,2,0,2
False,False,Americas,False,False,14,6,14,223,False,176.968,1,3,0,2
True,True,Americas,False,False,19,4,16,1257,False,113.195,2,1,0,0
False,False,Americas,False,False,11,7,14,613,False,162.091,1,6,0,0
True,True,Americas,False,False,6,6,15,344,False,32.152,2,2,0,1
True,False,Americas,False,False,11,7,14,321,False,79.293,3,3,0,0
False,False,Europe,True,True,5,2,19,607,False,522.9830000000002,1,1,0,0
False,True,Americas,True,False,9,4,18,489,False,14.331,4,0,0,0
False,True,Americas,False,False,17,4,18,1101,False,687.165,2,2,0,0
False,False,Americas,False,False,19,5,18,1051,False,984.14,1,2,0,2
False,False,Americas,False,False,10,5,18,1226,False,67.937,4,1,0,0
True,False,Americas,True,False,3,5,19,1137,False,61.193999999999996,2,1,0,1
False,True,Americas,True,False,16,6,18,485,False,88.958,1,3,0,2
False,False,Americas,True,False,19,4,20,950,False,487.106,2,1,0,1
False,False,Americas,True,False,13,14,11,1630,False,166.045,1,1,0,1
False,True,Americas,False,False,11,3,22,1824,False,30.906,1,2,0,0
False,False,Americas,False,False,10,9,17,430,False,269.643,1,7,0,1
True,False,Americas,True,False,17,5,21,2380,False,397.11199999999997,1,2,0,1
False,False,Americas,True,False,15,9,17,431,False,166.108,3,6,0,0
True,False,Americas,False,False,17,10,16,471,False,76.388,3,2,0,2
False,False,Europe,True,False,7,9,17,308,False,7.162999999999999,4,4,0,1
False,True,Americas,False,False,15,2,25,387,False,67.02199999999999,1,1,0,0
False,True,Americas,False,False,10,7,20,641,False,192.483,2,3,0,2
False,False,Asia,True,True,11,6,22,621,False,166.37099999999995,2,4,0,0
False,False,Americas,True,False,7,7,21,984,False,661.301,5,2,0,0
False,False,Americas,False,False,20,4,24,798,False,112.16,1,2,0,1
False,False,Americas,True,False,21,13,17,391,False,193.072,4,5,0,4
False,True,Americas,False,False,20,4,26,1423,False,426.023,2,2,0,0
False,True,Americas,False,False,9,7,23,1478,False,36.785,2,4,0,1
False,False,Americas,True,True,4,9,22,1520,False,516.008,1,7,0,1
False,True,Americas,False,False,6,9,22,258,False,102.035,1,4,0,4
True,True,Americas,False,False,22,5,26,966,False,449.50300000000004,2,1,0,1
True,False,Americas,False,False,14,15,16,312,False,142.74,2,9,0,3
False,True,Americas,True,False,9,7,26,2702,False,150.971,3,4,0,0
True,False,Americas,True,False,11,5,28,892,False,415.625,2,2,0,0
True,False,Americas,True,True,20,7,26,1857,False,1026.302,1,2,0,1
True,True,Americas,False,False,19,4,29,1625,False,131.608,1,1,0,0
False,True,Americas,True,False,12,9,26,502,False,86.92200000000004,4,5,0,0
False,True,Americas,False,False,11,5,31,568,False,49.603,2,3,0,0
True,False,Americas,False,False,19,12,25,1150,False,488.642,6,5,0,0
False,False,Americas,True,False,13,10,31,953,False,310.597,5,5,0,0
False,True,Americas,True,False,8,12,29,1193,False,854.403,4,5,0,3
False,True,Americas,True,False,14,13,28,951,False,129.863,5,6,0,2
False,True,Americas,False,False,8,14,29,588,False,209.954,5,6,0,3
True,True,Americas,True,False,15,14,30,629,False,246.28400000000002,7,5,0,0
True,False,Europe,True,True,14,12,34,845,False,293.004,4,7,0,0
True,True,Americas,False,False,12,28,20,968,False,23.424,3,3,0,0
True,True,Americas,False,False,8,12,39,2675,False,38.186,4,4,0,0
False,True,Americas,True,False,10,14,38,863,False,337.583,2,11,0,1
False,True,Americas,False,False,15,16,38,3449,False,445.796,11,4,0,1
False,True,Americas,True,False,10,13,41,3683,False,247.317,6,7,0,0
False,False,Americas,True,False,11,17,40,1109,False,887.297,1,10,0,6
True,False,Americas,True,True,14,18,43,1643,False,1574.2679999999998,1,8,0,8
False,True,Americas,False,False,17,25,38,1559,False,183.8,10,15,0,0
False,True,Americas,True,False,11,22,49,4003,False,1501.013,13,7,0,2
False,False,Americas,False,False,0,13,64,2604,False,279.754,7,3,0,3
True,True,Americas,True,False,21,30,61,1358,False,112.32600000000001,10,16,0,0
False,False,Africa,True,True,0,1,1,252,False,252.355,1,0,0,0
False,False,Europe,True,False,0,1,1,20,False,19.9,1,0,0,0
False,False,Europe,True,False,9,1,1,12,False,12.11,1,0,0,0
False,False,Europe,True,True,0,1,1,15,False,15.132,1,0,0,0
False,False,Americas,True,False,22,2,5,70,False,58.332,1,1,0,0
False,False,Americas,True,False,16,3,6,92,False,91.837,1,1,0,1
False,False,Asia,True,False,0,8,6,188,False,169.79,1,1,0,0
False,False,Europe,True,True,12,4,11,165,False,141.365,1,3,0,0
False,False,Asia,True,True,14,3,14,234,False,184.61,1,1,0,1
False,False,Europe,True,False,11,4,15,276,False,181.637,1,2,0,1
True,False,Europe,True,True,4,2,17,472,False,10.309000000000001,1,0,0,0
False,False,Americas,True,False,16,6,14,713,False,600.992,1,3,0,2
False,False,Asia,False,False,10,15,9,646,False,451.024,15,0,0,0
False,False,Asia,True,False,20,6,19,947,False,365.916,1,4,0,1
False,False,Americas,True,False,13,9,16,777,False,497.45099999999996,2,7,0,0
False,False,Oceania,True,True,21,4,28,459,False,82.921,2,2,0,0
False,False,Asia,True,False,20,39,59,2080,False,1482.921,2,25,0,12
